x,y (H1),EXACT,%Err(H1)
0.04,0.202682718,0.198642512,0.02%
0.041,0.207783355,0.203537917,0.02%
0.042,0.212883847,0.208428075,0.02%
0.043,0.217984063,0.213312858,0.02%
0.044,0.223083876,0.218192136,0.02%
0.045,0.228183155,0.223065782,0.02%
0.046,0.233281772,0.227933666,0.02%
0.047,0.238379596,0.23279566,0.02%
0.048,0.243476499,0.237651634,0.02%
0.049,0.24857235,0.242501461,0.03%
0.05,0.25366702,0.247345011,0.03%
0.051,0.258760379,0.252182157,0.03%
0.052,0.263852298,0.257012768,0.03%
0.053,0.268942644,0.261836718,0.03%
0.054,0.27403129,0.266653876,0.03%
0.055,0.279118104,0.271464115,0.03%
0.056,0.284202956,0.276267307,0.03%
0.057,0.289285716,0.281063322,0.03%
0.058,0.294366253,0.285852033,0.03%
0.059,0.299444437,0.290633311,0.03%
0.06,0.304520137,0.295407029,0.03%
0.061,0.309593222,0.300173057,0.03%
0.062,0.314663561,0.304931268,0.03%
0.063,0.319731025,0.309681533,0.03%
0.064,0.32479548,0.314423726,0.03%
0.065,0.329856798,0.319157717,0.03%
0.066,0.334914847,0.323883379,0.03%
0.067,0.339969495,0.328600585,0.03%
0.068,0.345020612,0.333309207,0.04%
0.069,0.350068067,0.338009117,0.04%
0.07,0.355111728,0.342700187,0.04%
0.071,0.360151464,0.347382292,0.04%
0.072,0.365187144,0.352055302,0.04%
0.073,0.370218636,0.356719091,0.04%
0.074,0.37524581,0.361373533,0.04%
0.075,0.380268534,0.366018499,0.04%
0.076,0.385286677,0.370653864,0.04%
0.077,0.390300106,0.3752795,0.04%
0.078,0.395308692,0.379895281,0.04%
0.079,0.400312303,0.38450108,0.04%
0.08,0.405310806,0.389096772,0.04%
0.081,0.410304072,0.393682229,0.04%
0.082,0.415291968,0.398257327,0.04%
0.083,0.420274363,0.402821938,0.04%
0.084,0.425251125,0.407375937,0.04%
0.085,0.430222124,0.411919199,0.04%
0.086,0.435187228,0.416451598,0.04%
0.087,0.440146305,0.420973008,0.05%
0.088,0.445099225,0.425483305,0.05%
0.089,0.450045856,0.429982363,0.05%
0.09,0.454986067,0.434470057,0.05%
0.091,0.459919726,0.438946262,0.05%
0.092,0.464846703,0.443410855,0.05%
0.093,0.469766865,0.447863711,0.05%
0.094,0.474680083,0.452304705,0.05%
0.095,0.479586225,0.456733713,0.05%
0.096,0.48448516,0.461150611,0.05%
0.097,0.489376757,0.465555277,0.05%
0.098,0.494260885,0.469947586,0.05%
0.099,0.499137414,0.474327414,0.05%
0.1,0.504006212,0.47869464,0.05%
0.101,0.508867148,0.483049139,0.05%
0.102,0.513720093,0.487390789,0.05%
0.103,0.518564915,0.491719468,0.05%
0.104,0.523401484,0.496035053,0.06%
0.105,0.52822967,0.500337423,0.06%
0.106,0.533049342,0.504626454,0.06%
0.107,0.537860369,0.508902026,0.06%
0.108,0.542662623,0.513164018,0.06%
0.109,0.547455972,0.517412306,0.06%
0.11,0.552240286,0.521646772,0.06%
0.111,0.557015436,0.525867294,0.06%
0.112,0.561781293,0.530073751,0.06%
0.113,0.566537725,0.534266023,0.06%
0.114,0.571284604,0.53844399,0.06%
0.115,0.5760218,0.542607532,0.06%
